,Business_Description,SD_Accept_reject
361,"company is engaged in providing software development, software consultancy, IT services  Main Income is from Software Technical Consultancy Services",Reject
362,company is engaged in providing manufacturing pens and mechanical pencils.  Main Income is from Ball Point Tips. The company operates in two segments viz writing instruments(99%) and windmill power(1%)[2017].,Reject
363,company is engaged in providing Operations and Maintenance of Fuel Farm   Main Income is from Fuel Farm Services,Reject
364,company is engaged in providing manufactures and sells formulations and active pharmaceutical ingredients  Main Income is from Liquid Orals,Reject
365,Adequate qualitative data unavailable. Main Income is from It Enabled Services,Reject
366,company is engaged in providing Non Destructive Testing for Radiological Safety  Main Income is from Testing Charges,Reject
367,"company is engaged in providing digital payments, online retailing, e-commerce software and internet services. Its online selling solutions include BuildaBazaar and Infibeam.com. BuildaBazaar is an online selling platform that enables online e-commerce services for merchants to sell their products and services to customers. Main Income is from Software Devp.,Maint. & Other Ancillary Services",Reject
368,"company is engaged in providing business process solutions, mobility solutions, and product engineering services. It provides business technology solutions, such as analytics, mobility, agile, application, network infrastructure, and digital transformation services; and mobile messaging solutions, including SMS text messaging service, multimedia messaging service, campaign manager, push notification service, unified mobile messaging communications service, location aware messaging, rich communication suite, personal messaging cloud, short messaging service center, short messaging gateway, and public safety messaging solutions. The company also offers product engineering solutions comprising broadband networking, telecom equipment vendors ecosystem, industrial control and automation, and specialized services, as well as solutions in the areas of software defined networking, network function virtualization, test automation framework, and Internet of things and cloud computing.   Main Income is from Computer Software",Reject
369,"company is engaged in providing services of development of enterprise software for Web and mobile in India and internationally. The company offers automated testing services; enterprise cloud solutions to automate operations, such as IT helpdesk, asset management, enterprise service management, and virtual support workflow; UX and UI design services; custom application development services; content management systems; enterprise mobility services; big data analytics; distributed storage systems; and e-commerce solutions. It also provides publishing services for Web, mobile, and print, including data conversion; standard publishing process automation; digital transformation and mobility; workflow and document management; and digital selling, consumption, and distribution services, as well as portal for accreditation enablement.   Main Income is from Software",Reject
370,"company is engaged in providing s data controls and analytics software services for businesses to manage, analyze and monitor their data for business operations.  Main Income is from Software Development Services",Reject
371,"company is engaged in providing solutions and services including custom software development, dedicated resource deployment and providing scalable software services.  Main Income is from Software Services",Accept
372,"company is engaged in providing customer management, asset management, enterprise financial IT management, business consulting, deployment services, CRM services  Main Income is from Software License. The company operates in four segments viz centre of excellence(95%), software license & consulting(29%),software development services(25%) and shared services(11%)[2017].",Reject
373,"company is engaged in providing information products, library management solutions, content management  Main Income is from Subscription To E-Journals & E-Books.The company operates in two segments viz electronic publishing(38%) and journals(57%)[2016].",Reject
374,"company is engaged in providing business process outsourcing services for financial content industries. Its services include financial research contents, such as informed-tech services in financial research industry; proxy voting; and dilution modeling, as well as research services, including merger and acquisition, capital market information, tracking of SEC letters, and SEC filing report contents. In addition, it provides a range of data processing services to industries involved in printing and sales of book or any other print media; and data reconciliation, data conversion, proof reading, data entry, and data tagging services.   Main Income is from Data Outsourcing Charges",Reject
375,"company is engaged in providing business process management services. The Company offers claims, credit, and debit card processing, mortgage loan servicing, collections, customer account management, transaction, reinsurance and accounting services.  Main Income is from Revenue From Business Process Management Services. The company operates in five segments viz electronic clearing services(31%), FSI(29%), manufacturing(29%), Rcl(9%) and Lsh(3%)[2018].",Reject
376,"company is engaged in providing business consulting, information technology and outsourcing services.  Main Income is from Software Development Services. The company operates in seven segments viz financial services(26%), energy utilities and telecomm services(25%), retail, consumer packaged goods & logistics enterprise(17%), life sciences & healthcare enterprise(13%), manufacturing(10%), hi-tech(8%) and all other segments(2%)[2018].",Reject
377,"company is engaged in providing hadware, but also delivers engineering as well as aftermarket engineering and support services, i.e., Technical publications, repair design, service bulletins, testing, performance analysis, maintenance monitoring etc. in the Aerospace domain.  Main Income is from Software Services",Reject
378,company is engaged in providing construction services  Main Income is from Services,Reject
379,"company is engaged in providing IT / Technology Services of desgin services, technology services & test lab services  Main Income is from Services",Reject
380,"company is engaged in providing  technology sales, marketing, and logistics company. It offers infrastructure solutions, such as server, storage, load balancing, networking, licensing, and security systems and technologies.  Main Income is from It & Office Automation",Reject
381,"company is engaged in providing data extraction, machine learning, and data enrichment   Main Income is from Content Related Support Services",Reject
382,"company is engaged in providing anti virus software. The Company designs and maintains software systems and solutions. The company offers security, technology, and system optimization services.   Main Income is from Software",Reject
383,"company is engaged in providing information technology services. The company provides endpoint, network, application, data, and mobile security services; and risk and compliance, malware defense, and consulting services. It also offers cloud solutions, including infrastructure as a service, platform as a service, application services, and management services; and Internet of Things (IoT) solutions.  Main Income is from Servers, Desktops & Laptops. The company operates in four segments viz SI(47%), IMS(37%), SS(12%) and WMS(5%)[2017].",Reject
384,"company is engaged in providing investment banking and financial advisory services. The firm offers cash flow and scenario analysis, desktop publishing, financial modeling, due diligence, business research, benchmarking analysis, and mergers and acquisitions advisory services.  Main Income is from Business Process Outsourcing Solutions",Reject
385,"The company is engaged in providing banking, insurance and retail customer service, life cycle management.  Main Income is from Software Development & Other Services",Reject
386,"company is engaged in providing pre-publishing services, provides content management and content transformation solutions to publishers and typesetters. The company offers digital typesetting, e-publishing, data conversion, and related services for STM, HSS, professional, and educational books/journals; reference books; elementary, high school, and college textbooks; custom made course materials; user manuals and catalogues; and financial and legal publications. It also provides content management solutions, which include copyediting, project management, graphics, XML, e-books, and indexing services. In addition, the company offers editorial, litigation support, translation and localization, and Web and presentation localization services, as well as digital asset management services, which include archival and retrieval services; and develops e-products, such as CD ROM based products and electronic PDF products.  Main Income is from Services",Reject
387,"company is engaged in providing business process outsourcing company. The company offers knowledge services; e-publishing; business administration services; discovery support; legal process; and document, content, and graphic services. It serves financial services institutions, law firms, consultancies, publishing and media companies, and various corporations internationally.   Main Income is from Development Service",Reject
388,"Company is engaged in providing call center management, back office services, knowledge services. Main Income is from Call Centre",Reject
389,Company is engaged in providing software & analytics for retail & restaurant businesses  Main Income is from Software Development,Reject
390,"Company is engaged in business of software development, and providing software product license and related services with  products across Global Consumer Banking, Central Banking, Risk and Treasury Management, Global Transaction Banking and Insurance. Its Global Consumer Banking products include Digital Core, a Web-enabled banking software; Lending, a loan management system that supports all the financial facilities for the bank for market segments, from retail to corporate; Wealth, an integrated front, middle and back-office solution for private banks, wealth management firms, advisory firms, broker dealers and independent financial advisors, and Quantum Central Banking Solution, a banking solution for the requirements of central banks with technology frameworks.  Main Income is from Software Product Licence & Related Services",Accept
391,"Company is engaged in application development for web, mobile, cloud and social media platforms. Main Income is from Services",Accept
392,"Company is engaged in application development and deployment to manage business agility of enterprises, it also provides solutions for streamlining users' order management systems to help with product launches, provides a centralized view of expenses across multiple lines of business, and provides end-to-end rules-driven on boarding solution that ensures compliance with various global and local regulatory frameworks throughout the entire customer lifecycle. Main Income is from Development Of Software",Accept
393,"Company is engaged in providing back office services, transaction-based services, MIS and analytical reporting services to clients.  Main Income is from Business Process Management Services",Reject
394,"Company is engaged in providing application development services, software validation, ORACLE development & support, data warehousing & related consulting services  Main Income is from Software Development",Accept
395,company is engaged in providing Interior design services   Main Income is from Interior Designing,Reject
396,Company is engaged in providing retail financing services.  Main Income is from Software,Reject
397,"Company is engaged in providing information technology (IT) and business process outsourcing (BPO) solutions. Further it provides custom application development, maintenance, and other data and product support services. Main Income is from Data Processing/Contact Centre Income. The company operates in two segments viz data processing services(71%) and software development & maintenance(29%)[2018].",Reject
398,company is engaged in providing manufacturing of motor vehicle parts and accessories.  Main Income is from Automotive Parts. The company operates in two segments viz automotive parts(68%) and ITeS(32%)[2016].,Reject
399,"Company is engaged in providing  employee engagement solution, web analytics solution & ion mobile solutions.  Main Income is from Software Services",Reject
400,"company is engaged in providing  fungicides, insecticides, microorganisms, biostimulants, pheromones, and fumigants.  Main Income is from Formulations",Reject
401,"Company is engaged in providing  software development for automotive industry and enterprise connectivity solution. Its offerings include interactive online stores, car animation and graphics, online marketing programs, sales performance coaching and information lifecycle management (ILM) solutions, and online service management solutions. It owns a collection of automotive images and animation. It is also present in the Enterprise Software space, with connectivity and security products from Open Text and others.   Main Income is from Computers",Reject
402,"The company is engaged in data processing & related services. Main Income is from Data Processing, Hosting And Related Activities",Reject
403,"Company is engaged in providing end-to-end e-learning solutions and integrated business solutions to a wide spectrum of clients including government organizations, academic institutions and enterprises. Further, it's offerings encompass a diverse range of areas such as IT Infrastructure Management, Networking & Communication, Multimedia & Content Development Services, E-learning and Software Solutions.  Main Income is from Fees & Service Charges. The company operates in two segments viz software services(85%), supply of computer material(13%) and software solutions(2%)[2018].",Reject
404,"Company is engaged in providing computer programming services. The Company offers asset management, commercial banking, investment bank, private banking, securities services, and treasury services.  Main Income is from Professional Services",Reject
405,"Company is engaged in providing insurance agent and broker services for a range of insurance types, but is also involved in providing analytic, application development & cloud services.  Main Income is from It Enabled Services",Reject
406,"company is engaged in providing automotive components, systems, and prototypes, as well as provides designing and testing services.  Main Income is from Project Income",Reject
407,company is engaged in providing clinical research services  Main Income is from Medical Writing.The company operates in two segments viz clinical research services(90%) and data management services(10%)[2018].,Reject
408,"Company is engaged in providing software development(CRM), data analytics and BPO (customer acquisition, customer services, debt collection, and technical helpdesk)  Main Income is from Call Centre Services Income. The company operates in two segments viz BPO services(92%) and software services(8%)[2018].",Reject
409,"company is engaged in providing manufactures and sells BOPET and BOPP films  Main Income is from Packaging Films.The company operates in two segments viz packaging films(90%), nonwoven fabrics(7%) and photographic products(3%)[2018].",Reject
410,company is engaged in providing manufactures steel products.  Main Income is from H R Coils Sheets & Cold Rolled Strips,Reject
411,company is engaged in providing  manufactures agricultural tractors and farm equipment.  Main Income is from Tractors. The company operates in two segments viz agriculture products(83%) and IT & ITeS(17%)[2018].,Reject
412,"company is engaged in providing manufacturing carburetors, pistons, rings, valves.  Main Income is from Engineering Services. The company operates in two segments viz engineering services(57%) and building efficiency(43%)[2018].",Reject
413,"company is engaged in providing manufactures catalytic converters for heavy duty diesel vehicles.   Main Income is from Nickel Hydrogenated & Naphtha Reforming Catalysts.The company operates in three segments viz process technologies(41%), precious metal(37%) and fine chemicals(23%)[2017].",Reject
414,"company is engaged in providing a search engine business under the Justdial brand name in India and internationally. The company offers local search, search related, and software services through various platforms, including Internet, mobile Internet, over the telephone, and text. It also provides review and rating certification services, and online payment services  Main Income is from Telephonic Search Services",Reject
415,Company is engaged in providing chip manufacturing and related support services  Main Income is from Services,Reject
416,"Company is engaged in providing mobility tech, custom web app development, website development, mainly in insurance & healthcare. It also provides BPO services like data entry, online order processing and financial transaction processing. Main Income is from Software Services & Consultancy",Reject
417,company is engaged in providing manufactures and sells power driven pumps and industrial valves  Main Income is from Engineering Development & Software Services,Reject
418,"Company is engaged in providing software product development, consulting, technology, and outsourcing services  Main Income is from Software Services",Reject
419,Company is engaged in providing antivirus software. Main Income is from Software,Reject
420,"company is engaged in providing hardware product testing, audit, certifications and training  Main Income is from Testing & Calibration Fees",Reject
421,company is engaged in providing wholesale trade of computer hardware  Main Income is from Mobiles,Reject
422,"company is engaged in providing investing in commodity contracts, tax liens, venture capital companies, and other miscellaneous investing.  Main Income is from Fee From Registrars & Investor.The company operates in two segments viz registry services(92%) and data processing services(8%)[2018].",Reject
423,"Company is engaged in providing business and knowledge process services, e-governance services, digitization of records in various government and PSU departments; field data collection that include census/survey projects and resident enrolment services; and attendance management solutions. Further it also provides office management.  Main Income is from Database & Basic Data Ser,Data St,Rec. & Mgmt Ser..The company operates in one segment transaction process & system integration(100%)[2018].",Reject
424,Company is engaged in providing telephone voice and data communications services. The Company offers inbound and outbound call center services.   Main Income is from Service Charges From Call Center,Reject
425,"company is engaged in providing  design service, road construction & saswad road design   Main Income is from Services",Reject
426,company is engaged in providing  edible oils and agricultural products  Main Income is from Agriculture Products,Reject
427,"company is engaged in providing information technology (IT) education and training services in India. It is involved in the training of basic to advance computer knowledge in various IT services, including office tools; industrial computerized accounting; inventory management; statutory capabilities using tally; various programming languages, such as C++, .Net, Java, and Oracle; designing courses; hardware and networking courses; and communication and soft skills, etc.  Main Income is from Computer Software & Hardware Coaching",Reject
428,"Company is engaged in providing digital transformation service, digital connected enterprise solutions, SAP solutions, outsourced product development, enterprise software applications, enterprise IT consulting services. Main income is from software. The company operates in three segments viz digital transformation(68%), enterprise solutions(18%) and consulting(15%)[2018].",Accept
429,"Company is engaged in providing  application development and maintenance, consulting, testing and compliance, and knowledge enablement services in the areas of performance engineering, integration and messaging, business analytics, and mobility solutions. Main Income is from Income From Services",Accept
430,company is engaged in providing  utility engineering service  Main Income is from Consultancy Fees,Reject
431,"Company is engaged in providing ERP, Product engineering, website design and transcription, BPO services  Main Income is from Software",Reject
432,company is engaged in providing anti corrosion products  Main Income is from Application Services,Reject
433,"Company is engaged in providing disparate data to simplify complex decisions to make agriculture predictable and profitable. It works at the intersection of precision agriculture, big data, cloud computing and mobile to deliver clear decision points to farmers and agri-enterprises.   Main Income is from Software Services",Reject
434,"Company is engaged in providing mechanical, electronic and software development services to  the Knorr-Bremse Group companies   Main Income is from Engineering Servies",Reject
435,"company is engaged in providing manufactures and sells elevators and escalators.   Main Income is from Passenger,Hospital,Freight & Service Lifts. The company operates in two segments viz elevators and escalators(95%) and others(5%)[2016].",Reject
436,company is engaged in providing manufactures flow control equipment.  Main Income is from Control Valve.The company operates in two segments viz manufacturing of control valves(98%) and manufacturing of castings(2%)[201].,Reject
437,"company is engaged in providing  sugar and its by-products   Main Income is from Sugar.The company operates in three segments viz sugar(73%),distillery(19%) and cogeneration(8%)[2018].",Reject
438,company is engaged in providing consultancy services for power projects  Main Income is from Consultancy Chgs. From Power,Reject
439,company is engaged in providing petrochemical and engineering services  Main Income is from Engineering Consultancy Services,Reject
440,Company is engaged in providing engineering consulting firm providing all infrastructure   Main Income is from Construction Contracts,Reject
441,Company is engaged in providing Thermal power plants and turnkey solutions for Gas-based power plants.  Main Income is from Project Facillitation & Advisory Service Fees,Reject
442,"Company is engaged in providing CAD, CAE engineering services, embedded technology, analytics, and manufacturing and consultancy services.  Main Income is from Engineering Services. The company operates in five segments viz transportation(30%), telecom(24%), industrial products(24%), process engineering(14%) and medical devices(7%)[2018].",Reject
443,"Company is engaged in providing power plant design, power plant engineering & International engineering consultancy services  Main Income is from Income From Engineering Services",Reject
444,"Company is engaged in providing Mobile Phones, Accessories & Parts, Computer Monitors & Display  Main Income is from Software Development Services",Reject
445,"company is engaged in providing manufactures and sells textile spinning machinery  Main Income is from Yarn Making Machinery.The company operates in three segments viz tectile machinery division(77%), machine tools(21%) and advanced tech centre(2%)[2018].",Reject
446,"company is engaged in providing develops, manufactures, and sells specialty chemicals  Main Income is from Benzyl Alcohol",Reject
447,"Company is engaged in providing information technology (IT) services and solutions, it offers application development services, maintenance and outsourcing services, enterprise solutions, infrastructure management services, testing solutions, digital solutions, and platform based solutions.  Main Income is from Software Development Services And Products. The company operates in five segments viz BFSI(45%), manufacturing(17%),retail, pharma and others(14%), energy and utilities(12%), high-tech media& entertainment(11%)[2018].",Reject
448,"Company is engaged in providing designs, develops, and delivers software solutions for the banking and financial service sector.  Main Income is from Software Development",Reject
449,"Company is engaged in providing application services related to SAP, IT infrastructure servces, and analytics services  Main Income is from It/Ites Services",Reject
450,"Company is engaged in providing web development, business process outsourcing, corporate training, IT infrastructure, mobility solutions, and customer relationship management services.   Main Income is from Software Solutions.The company operates in two segments viz SaaS(88%) and consulting(12%)[201].",Reject
451,"Company is engaged in providing set up of IT infrastructure, computer departments, Development of major integrated computer systems, ERP systems, Consultancy services, Training and Education, Web site designing, mobile apps in iOS and Android.   Main Income is from Consultancy Services",Reject
452,company is engaged in providing  non-banking financial services.  Main Income is from Consultancy,Reject
453,"company is engaged in providing  procurement, construction, export, and project financing services for petrochemical, ammonia, gas treatment, adsorption, and synthesis gas plants.  Main Income is from Construction Services",Reject
454,"Company is engaged in providing systems integration and technology consulting company, provides strategy, applications, data, and infrastructure solutions. Main Income is from Knowledge Process Outsourcing Services",Reject
455,"Company is engaged in providing Datacenter Transformation including Private and Hybrid Cloud Infrastructure, Workplace Transformation - VDI/BYOD and Mobility,High-Performance Computing (HPC), Communication and Collaboration, Service Management Automation, Remote Infrastructure Management, and Security Services. Main Income is from I T Solution",Reject
456,"company is engaged in providing design, construction and operation stages of civil works  Main Income is from Management & Engineering Services",Reject
457,"Company is engaged in providing cloud based platform for managing content, workforce, real time data collection. It further provides adaptive testing platform and other content related solutions.  Main Income is from E-Publishing Services",Reject
458,company is engaged in providing manufactures electric power equipment.   Main Income is from Services,Reject
459,Company is engaged in providing  integrated solutions for Asset intensive companies. It provides software platform for strategic management.  Main Income is from Software Services,Accept
460,"Company is engaged in providing BI solutions, application services and BPO services  Main Income is from Technology Services",Reject
461,company is engaged in providing land acquisition service & thermal power plant consulting services  Main Income is from Mining Consultants,Reject
462,"It is the official portal of the Government of Madhya Pradesh, through which the services of various government departments are being developed and given to the citizens online.  Main Income is from Portal Services",Reject
463,"Company is engaged in providing platforms for workflow, content management, analytics, and custom development and support.  Main Income is from Services",Reject
464,"company is engaged in providing manufacture, supply, and distribution of access and networking equipment and solutions  Main Income is from Real Estate.The company operates in four segments viz product(53%), real estate development(38%), solutions(5%), EMS(5%)[2018].",Reject
465,"Company is engaged in providing simulation software and software for industries like Aerospace & Defense, Automotive & Transportation, Agricultural Equipment, Heavy Machinery, Medical Devices, Oil and Gas, Nuclear, Renewable Energy, Consumer Products, Packaging, Electronics, Shipbuilding and Civil Engineering.  Main Income is from Maintenance",Reject
466,"Company is engaged in providing data processing, inbound & outbound services, accounting, transcription, and web mining services. Main Income is from Software Development Charges",Reject
467,company is engaged in providing manufactures industrial machinery parts.   Main Income is from Nozzle Rings,Reject
468,company is engaged in providing diversified financial services   Main Income is from Bpo & Kpo,Reject
469,company is engaged in providing Construction services  Main Income is from Contract Receipts,Reject
470,company is engaged in providing structural engineering & construction services.  Main Income is from Engineering & Design Services,Reject
471,"Company is engaged in providing decision support system, enterprise integration, application development, data conversion, and data capture services.  Main Income is from Income From Software Development",Accept
472,company is engaged in providing maharashtra MH-CET exam portal  Main Income is from Information Technology And Consultancy Services,Reject
473,company is engaged in providing real estate development services.   Main Income is from Sale Of Flats,Reject
474,company is engaged in providing engineering consulting services  Main Income is from Consultancy Fees,Reject
475,"company is engaged in providing develops, manufactures, and sells up-armor products for vehicles.  Main Income is from Traning Services.The company operates in two segments viz defence(93%) and non-defence(7%)[2018].",Reject
476,website unavailable  Main Income is from Rendering Services,Reject
477,"Company is engaged in providing insurance technology software, information technology services and consulting to insurance carriers  Main Income is from Information Technology Services",Reject
478," Company is engaged in providing solutions in digital imaging, packaging pre press, digital content creation and publishing services. Main Income is from It Enabled Services",Reject
479,company is engaged in providing manufacturing of computer peripheral equipment.  Main Income is from Consumables,Reject
480,"company is engaged in providing  IT solutions with focus on commodities, banking, and financial services markets in India and internationally. The company offers a real time trading solution, a web based IPO system, a solution for all back office needs of depository participants, a centralized solution for user’s operational needs related to the maintenance of client records; a back office solution for NBFCs to enable client funding management and delivery management; and a platform for exchanges that enables order matching along with risk management, broadcast, and indices creation capabilities.  Main Income is from Software Development & Customization",Reject
481,"Company is engaged in providing IT solutions with focus on commodities, banking, and financial services markets like  system that enables brokers to facilitate online application by clients with a payment gateway and back office interface,solution for all back office needs of depository participants for NSDL and CDSL.,  centralized solution for user’s operational needs related to the maintenance of client records, client funding management and delivery , platform for exchanges that enables order matching.  Main Income is from Software Development",Reject
482,"Company is engaged in providing Architectural BIM Services, Structural BIM Services, MEP BIM Services and Asset & Plant Inspections . It further provides GIS- Geospatial information systems, and its developmnet, implementation & integration.  Main Income is from Software Services",Reject
483,company is engaged in providing supplying & trading of Psa nitrogen gas generator  Main Income is from Services,Reject
484,"Company is engaged in providing digitization, back office services, media services, e-governance & software development services for web and mobile applications.  Main Income is from Software",Reject
485,"company is engaged in providing IT infrastructure consulting & services, including network consulting, software consulting, technical support, outsourcing and training.  Main Income is from Computer Spares Sale & Services",Reject
486,"Company is engaged in providing applicaton and web development, business intelligence, and assurance and testing  Main Income is from Computer Software",Reject
487,"company is engaged in providing  transaction processing and other payment-related products and services.  It facilitates the processing of payment transactions, including authorization, clearing, and settlement, as well as delivers related products and services. The company offers integrated products and services for account holders, merchants, financial institutions, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts. It also provides value-added products and services comprising safety and security products.  Main Income is from Services",Reject
488,"Company is engaged in providing digital, data and engineering services. It alo provides oracle support services  Main Income is from Software Development",Reject
489,company is engaged in providing aircraft engineering and maintenance services  Main Income is from Aviation Engineering,Reject
490,"company is engaged in providing storage furniture, pharmaceuticals, and software solutions. It provides  software and Web development solutions.  Main Income is from Storage Systems.The company operates in three segments viz proyurveda(51%), storage systems(44%) and IT services(5%)[2016].",Reject
491,Company is engaged in providing research & information services and IT support services.  Main Income is from Research & Analysis Services,Reject
492,company is engaged in providing plumping and valve products and services  Main Income is from Valves,Reject
493,Company is engaged in providing end-to-end Creative Management Platform. Main Income is from Computer Programme,Reject
494,"company is engaged in providing manufactures, and sells pharmaceutical products  Main Income is from Tablets",Reject
495,"Company is engaged in providing IT professional services , outsourcing services and solutions in Web design, development, e-commerce, digital marketing, outsourcing, mobile technology. Main Income is from Information Technology Services",Reject
496,"company is engaged in providing  manufactures aluminum alloy pistons, piston pins  Main Income is from Pistons/Piston Assembly",Reject
497,"Company is engaged in providing virtual prototyping, software products, IoT solutions, and other manufacturing and automation services.  Main Income is from Software Development. The company operates in two segments viz distribution/direct sales(58%) and support services(42%)[2017].",Reject
498,"Company is engaged in providing engineering and IT, using AI, AR, Big Data analytic, computer-aided design and simulations (CAD, CAE),  embedded systems, telematics and developing various IT applications and tools.  Main Income is from Software Research & Development Services.The company operates in two segments viz engineering design(62%) and IT services(38%)[2018].",Reject
499,company is engaged in providing  manufacturing of motor vehicle parts and accessories.  Main Income is from Traded Goods,Reject
500,Company is engaged in providing IT services to the group compnaies  Main Income is from Income From Operations,Reject
501,"company is engaged in providing  manufacturing scales and balances, except laboratory.  Main Income is from Electronic Weighing Scales & Components. The company operates in four segments viz manufacturing and trading of precisions equipments(88%), software development(5%), global business shared support(5%) and market support(3%)[201].",Reject
502,company is engaged in providing civil engineering services  Main Income is from Work Bills,Reject
503,"Company is engaged in providing IT infrastructure services. The company offers a suite of cloud services, including assessment, migration, design, and automation that support integration with traditional IT environments; data center consulting and management services; end user services, which include enterprise mobility management, desktop virtualization, application packaging, end user environment modernization, enterprise service desk, workplace support, and unified communications; and network services comprising LAN/WAN management, enterprise-wide communications network management, network consulting, LAN-as-a-Service, and Network Design and Build-as-a-Service  Main Income is from Infrastucture Management Services. The company operates in two segments viz Infrastructure management services(97%) and ITeS(3%)[2018].",Reject
504,company is engaged in providing  Technical products and Engineering equipment   Main Income is from Traded Goods,Reject
505,"Company is engaged in providing computer related services and consulting. The Company offers support and solutions including antivirus software, malware removal tool, computer security, phone apps and games, internet, office suites, server, home finance, business, health, and other media applications.   Main Income is from Software Products.The company operates in one segment viz retail of software products and services(100%)[2018].",Reject
506,"Company is engaged in providing developer support, enterprise platform support. It provides technical resolution services to Microsoft's English-speaking Enterprise customers .  Main Income is from Software Consultancy Services",Reject
507,"Company is engaged in providing AI, cloud and enterprises services, windows software, office products, and core engineering services.  Main Income is from Software Development Services",Reject
508,"company is engaged in providing manufactures and sells mechanical and electronic security systems, and electronic controllers   Main Income is from Lock Kits",Reject
509,company is engaged in providing manufactures electronic instruments for automotive customers.  Main Income is from Automobile Components & Parts,Reject
510,"Company is engaged in providing IT solutions for banking companies, government, and payment aggregators.  Main Income is from Software Support Services",Reject
511,"Company is engaged in providing integrated campus management system for admission and fee management, student management, staff management, attendance/internal and external examination/integrated library management, book catalog, book reservation, book tracking, visitor information, centralized electronic transaction, reporting, laboratory administration, hostel management, course management, inventory control, visitor management and an integrated portal. Main Income is from Software Development",Accept
512,"Company is engaged in providing  third party payroll, Oracle consulting, web and mobile application development, IT staffing, recruitment process outsourcing, corporate training, and Microsoft consulting services.  Main Income is from Services",Reject
513,"Company is engaged in providing product engineering, reengineering, data and infrastructure management, application development and system integration.  Main Income is from Income From Software Activity. The company operates in two segments viz ITeS(10%) and software(90%)[2017].",Reject
514,"Company is engaged in providing product engineering, reengineering, data and infrastructure management, application development and system integration.  Main Income is from Income From Software Activity. The company operates in two segments viz ITeS(10%) and software(90%)[2017].",Accept
515,"company is engaged in providing  technical, financial, and engineering services to decentralized power generation projects  Main Income is from Consultancy Fees.The company operates in two segments viz consultancy and training (58%), project services(41%) and wind power generation(1%)[2018].",Reject
516,"Company is engaged in providing data content collection and analysis services. The Company's services include e-commerce management, data feeds, price analysis, customer support, and other customized business services. It also provides software development, and AI solutions.  Main Income is from It & It Enabled Services",Reject
517,"company is engaged in providing designs and develops roads, highways, bridges, tunnels, and other infrastructures.   Main Income is from Contract Revenue.The company operates in two segments viz road infrastructure services(99%) and windmill(1%)[2018].",Reject
518,Company is engaged in providing IT services like mobility and web technologies solutions   Main Income is from It Division,Reject
519,"company is engaged in providing Comprehensive employment related analysis and skill training of an Individual, Integrated solution for English and Employability skills, Need based customization of assessments, learning delivery and reports, Program evaluation &amp; monitoring at various levels  Main Income is from Skill Development Income",Reject
520,company is engaged in providing production of  polymer   Main Income is from Rental. The company operates in two segments viz consultancy services(44%) and rental(56%)[201].,Reject
521,"Company is engaged in providing business applications, ERP, cloud solutions, BI and analytics solutions  Main Income is from Software Consultancy Services.The company operates in three segments viz design(7%), software(81%) and trading(12%)[2018].",Reject
522,"company is engaged in providing mobile devices, networks and enterprise solutions, and connected home solutions.  Main Income is from Two Ways Radios",Reject
523,"Company is engaged in providing infrastructure technology and applications outsourcing services, as well as architecture guidance, application development and integration, and application management services.  Main Income is from Income From Software Development.The company operates in four segments viz banking and capital market(60%), IT, communication & entertainment(27%), insurance(8%) and emerging industries(5%)[2016].",Reject
524,Company is engaged in providing development of agriculture and agri based software in India.  Main Income is from Computer Software,Reject
525,company is engaged in providing generates electricity from the renewable sources of wind and solar energies  Main Income is from Wind Farm Development. The company operates in one segments viz windfarm development & infrastructure maintenance services(99%) and sale of energy(1%)[201].,Reject
526,website unavailable  Main Income is from Services,Reject
527,company is engaged in providing news Website and mobile based application that provides news alert services  Main Income is from Business Income,Reject
528,"company is engaged in providing IT and networking technologies. It offers multimedia solutions, such as multimedia projectors, professional displays, and video wall and digital signage solutions; engineering services, such as product lifecycle management, product engineering, plant solutions, and CAD security; and IT platforms, including servers, storages, express clusters, and thin client systems. It offers private network solutions, including SMB, enterprise, and wireless platforms; terminals; and unified business, communications, and infrastructure.   Main Income is from Application Development.The company operates in two segments viz equipment supply and installation(49%), software development(30%), trading of IT products(14%) and microwave telecomm equipments(7%)[2018].",Reject
529,"Company is engaged in providing offshore-led software engineering solutions in embedded software, hardware design, network security and its research and development (R&D), high performance computing, and mobile technology. It offers product engineering services, such as architecting, developing, enhancing, customizing, and maintaining services in the areas of automated fingerprint identification systems, as well as products in Web security, content security, and PC security; and R&D services in the areas of information security, virtualization, Web 2.0 and service oriented computing, and data mining and decision support systems.   Main Income is from Software Development",Reject
530,"Company is engaged in providing business process outsourcing services, include contact centre services, such as customer service, customer acquisition, and research and market survey; back office services, including transaction processing, finance and accounting, and technical services; and BPO consulting.  Main Income is from I T Enabled Services",Reject
